product_id,product_name,category,brand,cost_price
1001,Product_1,Clothing,BrandA,40.58
1002,Product_2,Grocery,BrandB,95.32
1003,Product_3,Home,BrandC,74.54
1004,Product_4,Electronics,BrandC,61.87
1005,Product_5,Home,BrandA,19.82
1006,Product_6,Clothing,BrandB,19.82
1007,Product_7,Grocery,BrandC,10.52
1008,Product_8,Home,BrandA,87.29
1009,Product_9,Grocery,BrandA,62.11
1010,Product_10,Home,BrandB,72.27
1011,Product_11,Clothing,BrandB,6.96
1012,Product_12,Clothing,BrandC,97.14
1013,Product_13,Toys,BrandB,84.08
1014,Product_14,Clothing,BrandA,25.17
1015,Product_15,Electronics,BrandA,22.27
1016,Product_16,Home,BrandB,22.42
1017,Product_17,Electronics,BrandC,33.9
1018,Product_18,Electronics,BrandA,54.85
1019,Product_19,Clothing,BrandC,46.03
1020,Product_20,Toys,BrandC,32.67
